"","x"
"1386",12873638
"1387",12892312
"1388",13613392
"1389",13808819
"1390",13820923
"1391",14450040
"1392",15301790
"1393",1534966
"1394",15445539
"1395",1559770
"1396",16524792
"1397",17910501
"1398",18046159
"1399",1813766
"1400",18366622
"1401",18985490
"1402",20459112
"1403",20571621
"1404",20627467
"1405",21202296
"1406",2192684
"1407",22011774
"1408",22721398
"1409",22882532
"1410",23119259
"1411",23126800
"1412",2349545
"1413",23631476
"1414",24310363
"1415",25692015
"1416",26524650
"1417",26780421
"1418",2737049
"1419",2753131
"1420",27585399
"1421",27754896
"1422",27864939
"1423",28233541
"1424",28321462
"1425",28321787
"1426",28553302
"1427",28686080
"1428",29054927
"1429",29594414
"1430",29608580
"1431",29639649
"1432",29660537
"1433",29779392
"1434",29789643
"1435",30184004
"1436",30482625
"1437",30643978
"1438",3257681
"1439",3272044
"1440",375700
"1441",3912854
"1442",4144287
"1443",4500975
"1444",5037483
"1445",5073573
"1446",5197602
"1447",5784583
"1448",5904688
"1449",6349420
"1450",7348682
"1451",7492457
"1452",751621
"1453",9451683
"1454",9816110
"1455",9831500
"1456",10531371
"1457",11360118
"1458",11491320
"1459",11628580
"1460",11845255
"1461",12550222
"1462",12725273
"1463",12934424
"1464",13312667
"1465",13482920
"1466",13502332
"1467",1449070
"1468",15000452
"1469",15427558
"1470",17145241
"1471",17333486
"1472",17939727
"1473",1812876
"1474",19743261
"1475",20525894
"1476",20922226
"1477",21012919
"1478",21202297
"1479",21954554
"1480",2251599
"1481",22803990
"1482",23298135
"1483",2389290
"1484",24714005
"1485",24758089
"1486",250862
"1487",2552405
"1488",26238064
"1489",27096638
"1490",27515810
"1491",27681753
"1492",27879042
"1493",27909606
"1494",2795721
"1495",28012682
"1496",28172676
"1497",28283493
"1498",28290864
"1499",28650134
"1500",28998355
"1501",29084583
"1502",29295480
"1503",29498269
"1504",295674
"1505",29709101
"1506",30246538
"1507",30254638
"1508",30339210
"1509",3203546
"1510",3322300
"1511",3722784
"1512",4034901
"1513",4113705
"1514",4144251
"1515",4159453
"1516",4378937
"1517",4442296
"1518",5117962
"1519",5448703
"1520",5683568
"1521",5822266
"1522",6435227
"1523",701997
