"","x"
"1566",6935599
"1567",7448652
"1568",963543
"1569",9961531
"1570",10288109
"1571",10716068
"1572",11043208
"1573",11248120
"1574",11365661
"1575",11372663
"1576",114168
"1577",11929890
"1578",11962974
"1579",12486998
"1580",12906117
"1581",13276413
"1582",13489949
"1583",13849921
"1584",15153910
"1585",15295922
"1586",16800442
"1587",18226121
"1588",18318219
"1589",18689362
"1590",18855565
"1591",21067548
"1592",22853911
"1593",25534640
"1594",25589415
"1595",25650263
"1596",27213059
"1597",27442350
"1598",2813647
"1599",28413946
"1600",28783252
"1601",29543095
"1602",29695321
"1603",29699462
"1604",29703718
"1605",29805175
"1606",29853749
"1607",30027557
"1608",30172150
"1609",30309572
"1610",30603269
"1611",3187057
"1612",3348003
"1613",3364573
"1614",3435196
"1615",3746254
"1616",3880066
"1617",3893530
"1618",3912501
"1619",400016
"1620",4049129
"1621",4146455
"1622",4267848
"1623",4307771
"1624",452569
"1625",5912723
"1626",6634143
"1627",7083856
"1628",9051046
"1629",9179955
"1630",9513944
"1631",9798660
"1632",10504037
"1633",10713477
"1634",10728679
"1635",10879438
"1636",11446581
"1637",11738640
"1638",12391976
"1639",12945421
"1640",13583369
"1641",13943503
"1642",14112595
"1643",14257856
"1644",15106715
"1645",1536810
"1646",18321540
"1647",19867425
"1648",20991229
"1649",23140778
"1650",23588835
"1651",24210463
"1652",24495341
"1653",24573254
"1654",2492492
"1655",25812426
"1656",2594435
"1657",26050511
"1658",26177827
"1659",26222105
"1660",27827318
"1661",2811415
"1662",28323424
"1663",28375445
"1664",28879743
"1665",29234233
"1666",29474336
"1667",29557037
"1668",29776115
"1669",30619164
"1670",30683857
"1671",3238817
"1672",3387100
"1673",4397746
"1674",4960858
"1675",4969011
"1676",5258604
"1677",5615940
"1678",5902310
"1679",7116652
"1680",734134
"1681",785958
"1682",963833
"1683",10037028
"1684",10352046
"1685",10640866
"1686",11525061
"1687",12034991
"1688",12591399
"1689",13734353
"1690",13969317
"1691",14023496
"1692",1408697
"1693",14232359
"1694",14631176
"1695",14860585
"1696",15149908
"1697",15550119
"1698",15613920
"1699",17090053
"1700",17513729
"1701",18003887
"1702",18525473
"1703",18766674
"1704",1914431
"1705",19568527
"1706",20037463
"1707",2011270
"1708",20476141
"1709",21066947
"1710",21493015
"1711",21590503
"1712",21679703
"1713",22064380
"1714",22087312
"1715",2332292
"1716",2351615
"1717",24243693
"1718",24594982
"1719",24878202
"1720",24937648
"1721",24948754
"1722",25752910
"1723",25833541
"1724",26913145
"1725",27356169
"1726",28382493
"1727",28907175
"1728",29216946
"1729",30446103
"1730",3159069
"1731",3287959
"1732",3626079
"1733",4297135
"1734",4354429
"1735",4410714
"1736",4663705
"1737",532355
"1738",5535256
"1739",6394232
"1740",6692646
"1741",6813894
"1742",7643784
"1743",7691871
"1744",800465
"1745",839373
"1746",9273790
"1747",10366934
"1748",10537105
"1749",11459057
"1750",11618339
"1751",11681410
"1752",12620261
"1753",13503855
"1754",14800465
"1755",15063346
"1756",15395555
"1757",15513021
"1758",15569264
"1759",16134535
"1760",17383455
"1761",18048825
"1762",18694747
"1763",18953703
"1764",1896965
"1765",19001889
"1766",19809908
"1767",21713039
"1768",21828492
"1769",21986172
"1770",23199497
"1771",23202582
"1772",24275536
"1773",24693640
"1774",254652
"1775",26775258
"1776",27096413
"1777",27107816
"1778",27129777
"1779",28123879
"1780",28627483
"1781",2954202
"1782",29764408
"1783",30106859
"1784",30151084
"1785",30360109
"1786",30588855
"1787",30739749
"1788",3616693
"1789",3986116
"1790",4024912
"1791",4289117
"1792",4315298
"1793",4736200
"1794",4937784
"1795",5317240
"1796",5439524
"1797",10340546
"1798",10637637
"1799",11159970
"1800",11621859
"1801",12432504
"1802",12551746
"1803",12753445
"1804",13067761
"1805",14392813
"1806",15215014
"1807",1600460
"1808",16372163
"1809",18084060
"1810",18089209
"1811",18122968
"1812",18141273
"1813",18764524
"1814",19137178
"1815",19475333
"1816",21408688
"1817",21840633
"1818",22802948
"1819",23663960
"1820",24362279
"1821",24864263
"1822",25912473
"1823",26721087
"1824",26933569
"1825",27138237
"1826",27279646
"1827",27320313
"1828",27616432
"1829",28158197
"1830",28175288
"1831",28295627
"1832",29142300
"1833",29492366
"1834",29594309
"1835",29710895
"1836",29734024
"1837",29759603
"1838",29761330
"1839",29763482
"1840",29787963
"1841",30010045
"1842",30578767
"1843",30645005
"1844",5661627
"1845",6438046
"1846",6608065
"1847",6689912
"1848",7241151
"1849",839456
"1850",9501626
"1851",9580007
"1852",11421050
"1853",11720229
"1854",12030240
"1855",12425422
"1856",14084924
"1857",14411254
"1858",14801196
"1859",15357397
"1860",15781486
"1861",1622458
"1862",16382785
"1863",17666318
"1864",17947280
"1865",18575101
"1866",18582923
"1867",18845651
"1868",1966329
"1869",2097657
"1870",21354418
"1871",21536560
"1872",22287395
"1873",22352176
"1874",22776121
"1875",23175918
"1876",24640235
"1877",24884479
"1878",25583254
"1879",25788365
