"","x"
"1579",4526977
"1580",4591704
"1581",4754433
"1582",4948032
"1583",5004362
"1584",5111363
"1585",5113965
"1586",5375866
"1587",5427660
"1588",5771271
"1589",6305888
"1590",6472559
"1591",6520456
"1592",709691
"1593",7325849
"1594",7369445
"1595",7820443
"1596",7835438
"1597",9010754
"1598",9341171
"1599",9437779
"1600",9571473
"1601",9610460
"1602",9910818
"1603",9982611
"1604",10114680
"1605",10154703
"1606",10296760
"1607",10316622
"1608",10352136
"1609",10484103
"1610",10656887
"1611",10770934
"1612",11265673
"1613",11478271
"1614",11720974
"1615",11726202
"1616",11809354
"1617",11906635
"1618",12087416
"1619",12356462
"1620",12402983
"1621",12664064
"1622",12702728
"1623",12729071
"1624",13164103
"1625",13241738
"1626",13378700
"1627",13446687
"1628",13675566
"1629",13694439
"1630",13840472
"1631",14138787
"1632",14222774
"1633",1439251
"1634",14430377
"1635",1482956
"1636",150232
"1637",1502494
"1638",15100965
"1639",1549169
"1640",15644548
"1641",15928264
"1642",16184782
"1643",1636243
"1644",16435431
"1645",1660048
"1646",17018620
"1647",17323379
"1648",17332865
"1649",1749165
"1650",18119663
"1651",1827979
"1652",18577827
"1653",18964359
"1654",1908447
"1655",1914639
"1656",19637340
"1657",1968649
"1658",20206555
"1659",20356379
"1660",20486807
"1661",20542642
"1662",20730599
"1663",20752478
"1664",20819348
"1665",20916962
"1666",20940154
"1667",2102530
"1668",21345145
"1669",21790466
"1670",21855103
"1671",2197455
"1672",22091812
"1673",22214103
"1674",22427189
"1675",22744808
"1676",22822520
"1677",22900965
"1678",23317089
"1679",23624826
"1680",23900216
"1681",23986807
"1682",24149869
"1683",24846162
"1684",25596842
"1685",25634731
"1686",25722445
"1687",25744117
"1688",25752181
"1689",25943837
"1690",26153932
"1691",27121215
"1692",27269690
"1693",27463629
"1694",27684534
"1695",27734826
"1696",27883597
"1697",28056341
"1698",28065369
"1699",28246287
"1700",28275456
"1701",28305939
"1702",28336115
"1703",28465121
"1704",28557877
"1705",28573833
"1706",28578207
"1707",28584813
"1708",28631937
"1709",28637085
"1710",28905438
"1711",28970292
"1712",29071271
"1713",29176996
"1714",29338590
"1715",29520993
"1716",29691354
"1717",29691886
"1718",29695044
"1719",29706735
"1720",29714060
"1721",29722485
"1722",29766568
"1723",29788898
"1724",30008532
"1725",30042183
"1726",30248680
"1727",30501048
"1728",30774794
"1729",309740
"1730",3339186
"1731",3660684
"1732",3814052
"1733",4075429
"1734",4262214
"1735",4384462
"1736",445866
"1737",4567487
"1738",5123235
"1739",5154925
"1740",5222956
"1741",5239453
"1742",5284165
"1743",5384038
"1744",6373578
"1745",6375648
"1746",6652136
"1747",693294
"1748",7056317
"1749",7078935
"1750",7132286
"1751",7252832
"1752",7500025
"1753",7745448
"1754",7760595
"1755",7772916
"1756",7839417
"1757",787551
"1758",869974
"1759",9377074
"1760",9565444
"1761",985722
"1762",1025440
"1763",10281389
"1764",10458266
"1765",11124922
"1766",11311663
"1767",11409728
"1768",11472917
"1769",11573483
"1770",11722144
"1771",1185191
"1772",12083727
"1773",12263835
"1774",12513963
"1775",12894448
"1776",12908118
"1777",13112615
"1778",13131696
"1779",13205324
"1780",13235998
"1781",13309752
"1782",13330019
"1783",13549936
"1784",13581723
"1785",1406348
"1786",14078613
"1787",14092130
"1788",15224464
"1789",15598028
"1790",15744430
"1791",15768047
"1792",15875417
"1793",1599372
"1794",16232923
"1795",16463503
"1796",16489730
"1797",17786953
"1798",17950103
"1799",1795426
"1800",18526
"1801",18658666
"1802",19004372
"1803",19114460
"1804",1956085
"1805",19818052
"1806",19945150
"1807",20240332
"1808",2026437
"1809",20353094
"1810",20586645
"1811",21149126
"1812",2116
"1813",2187655
"1814",22030676
"1815",22165316
"1816",22409126
"1817",22615767
"1818",22794596
"1819",22807582
"1820",22886332
"1821",2332464
"1822",2370705
"1823",24171612
"1824",24304894
"1825",24568702
"1826",24771562
"1827",2504346
"1828",25636596
"1829",26253068
"1830",26420495
"1831",26988360
"1832",27131963
"1833",27249837
"1834",27441057
"1835",2758354
"1836",27597712
"1837",27659344
"1838",27661521
"1839",27687460
"1840",2787316
"1841",27918256
"1842",28035967
"1843",2854618
"1844",28633107
"1845",28658849
"1846",28686514
"1847",28756453
"1848",28982407
"1849",29659081
"1850",29659694
"1851",29697403
"1852",29701010
"1853",29714304
"1854",29737156
"1855",29756362
"1856",29795990
"1857",29852383
"1858",30385292
"1859",30442793
"1860",30606331
"1861",30717923
"1862",3372847
"1863",3453892
"1864",3483213
"1865",3745825
"1866",3870196
"1867",4454032
"1868",4539209
"1869",4884990
"1870",4902737
"1871",5205460
"1872",5229202
"1873",5307322
"1874",5365823
"1875",5395064
"1876",5426564
"1877",5692875
"1878",5901511
"1879",5957303
